Code,From,To,Duration,Transition_Year,Is_Left_Censored
ABW,UM,H,3,1994,True
AGO,L,LM,9,2004,False
AGO,LM,UM,7,2011,False
ALB,L,LM,3,1996,False
ALB,L,LM,1,1998,False
ALB,LM,UM,11,2009,False
ALB,LM,UM,1,2012,False
ANT,UM,H,3,1994,True
ARG,UM,H,23,2014,True
ARG,UM,H,2,2017,False
ARM,L,LM,9,2002,False
ARM,LM,UM,15,2017,False
ASM,UM,H,31,2022,True
ATG,UM,H,11,2002,True
ATG,UM,H,2,2005,False
ATG,UM,H,3,2012,False
AZE,L,LM,9,2003,False
AZE,LM,UM,6,2009,False
BEN,L,LM,28,2019,True
BGD,L,LM,23,2014,True
BGR,LM,UM,15,2006,True
BGR,UM,H,17,2023,False
BHR,UM,H,10,2001,True
BIH,L,LM,5,1998,False
BIH,LM,UM,10,2008,False
BLR,LM,UM,13,2007,False
BLZ,LM,UM,11,2002,True
BLZ,LM,UM,4,2012,False
BLZ,LM,UM,1,2021,False
BRA,LM,UM,4,2006,False
BRB,UM,H,9,2000,True
BRB,UM,H,1,2002,False
BRB,UM,H,3,2006,False
BTN,L,LM,15,2006,True
BWA,LM,UM,4,1997,False
CHL,LM,UM,2,1993,True
CHL,UM,H,19,2012,False
CHN,L,LM,6,1997,True
CHN,L,LM,1,1999,False
CHN,LM,UM,11,2010,False
CIV,L,LM,15,2008,False
CMR,L,LM,11,2005,False
COG,L,LM,11,2005,False
COL,LM,UM,17,2008,True
COM,L,LM,27,2018,True
CPV,LM,UM,33,2024,True
CRI,LM,UM,9,2000,True
CRI,UM,H,24,2024,False
CUB,LM,UM,16,2007,True
CZE,LM,UM,2,1994,False
CZE,UM,H,12,2006,False
DMA,LM,UM,8,1999,True
DOM,LM,UM,17,2008,True
DZA,LM,UM,17,2008,True
DZA,LM,UM,4,2023,False
ECU,LM,UM,19,2010,True
EGY,L,LM,4,1995,True
EST,LM,UM,3,1997,False
EST,UM,H,9,2006,False
FJI,LM,UM,16,2007,True
FJI,LM,UM,2,2012,False
FSM,LM,UM,34,2025,True
GEO,L,LM,3,1996,False
GEO,L,LM,4,2003,False
GEO,LM,UM,12,2015,False
GEO,LM,UM,2,2018,False
GHA,L,LM,19,2010,True
GIB,UM,H,3,2009,True
GIN,L,LM,31,2022,True
