Code,From,To,Year
ABW,UM,H,1994
AGO,L,LM,2004
AGO,LM,UM,2011
ALB,L,LM,1996
ALB,L,LM,1998
ALB,LM,UM,2009
ALB,LM,UM,2012
ANT,UM,H,1994
ARG,UM,H,2014
ARG,UM,H,2017
ARM,L,LM,2002
ARM,LM,UM,2017
ASM,UM,H,2022
ATG,UM,H,2002
ATG,UM,H,2005
ATG,UM,H,2012
AZE,L,LM,2003
AZE,LM,UM,2009
BEN,L,LM,2019
BGD,L,LM,2014
BGR,LM,UM,2006
BGR,UM,H,2023
BHR,UM,H,2001
BIH,L,LM,1998
BIH,LM,UM,2008
BLR,LM,UM,2007
BLZ,LM,UM,2002
BLZ,LM,UM,2012
BLZ,LM,UM,2021
BRA,LM,UM,2006
BRB,UM,H,2000
BRB,UM,H,2002
BRB,UM,H,2006
BTN,L,LM,2006
BWA,LM,UM,1997
CHL,LM,UM,1993
CHL,UM,H,2012
CHN,L,LM,1997
CHN,L,LM,1999
CHN,LM,UM,2010
CIV,L,LM,2008
CMR,L,LM,2005
COG,L,LM,2005
COL,LM,UM,2008
COM,L,LM,2018
CPV,LM,UM,2024
CRI,LM,UM,2000
CRI,UM,H,2024
CUB,LM,UM,2007
CZE,LM,UM,1994
CZE,UM,H,2006
DMA,LM,UM,1999
DOM,LM,UM,2008
DZA,LM,UM,2008
DZA,LM,UM,2023
ECU,LM,UM,2010
EGY,L,LM,1995
EST,LM,UM,1997
EST,UM,H,2006
FJI,LM,UM,2007
FJI,LM,UM,2012
FSM,LM,UM,2025
GEO,L,LM,1996
GEO,L,LM,2003
GEO,LM,UM,2015
GEO,LM,UM,2018
GHA,L,LM,2010
GIB,UM,H,2009
GIN,L,LM,2022
GNQ,L,LM,1997
GNQ,L,UM,2004
GNQ,UM,H,2007
GRC,UM,H,1996
GRD,LM,UM,1997
GTM,LM,UM,2017
GUM,UM,H,1995
GUY,L,LM,1997
GUY,LM,UM,2015
GUY,UM,H,2022
HND,L,LM,1999
HRV,LM,UM,1995
HRV,UM,H,2008
HRV,UM,H,2017
HTI,L,LM,2020
HUN,UM,H,2007
HUN,UM,H,2014
IDN,L,LM,1993
IDN,L,LM,2003
IDN,LM,UM,2019
IDN,LM,UM,2022
IMN,UM,H,2002
IND,L,LM,2007
IRN,LM,UM,2009
IRN,LM,UM,2023
IRQ,LM,UM,2012
JAM,LM,UM,2007
JOR,LM,UM,2010
JOR,LM,UM,2017
JOR,LM,UM,2025
KAZ,LM,UM,2006
KEN,L,LM,2014
KGZ,L,LM,2013
KHM,L,LM,2015
KNA,UM,H,2011
KOR,UM,H,1995
KOR,UM,H,2001
LAO,L,LM,2010
LBN,LM,UM,1997
LCA,LM,UM,1992
LKA,L,LM,1997
LKA,LM,UM,2018
LKA,LM,UM,2025
LSO,L,LM,1995
LSO,L,LM,2005
LTU,LM,UM,2001
LTU,UM,H,2012
LVA,LM,UM,2001
LVA,UM,H,2009
LVA,UM,H,2012
MAC,UM,H,1994
MDA,L,LM,2005
MDA,LM,UM,2020
MDV,L,LM,1993
MDV,LM,UM,2010
MHL,LM,UM,2012
MKD,LM,UM,2008
MLT,UM,H,1998
MLT,UM,H,2000
MLT,UM,H,2002
MMR,L,LM,2014
MNG,L,LM,2007
MNG,LM,UM,2014
MNG,LM,UM,2023
MNP,LM,H,1995
MNP,UM,H,2007
MRT,L,LM,2010
MRT,L,LM,2012
MUS,LM,UM,1992
MUS,UM,H,2019
MYS,LM,UM,1992
NAM,LM,UM,2008
NCL,UM,H,1995
NGA,L,LM,2008
NIC,L,LM,2005
NPL,L,LM,2019
NRU,UM,H,2019
OMN,UM,H,2007
PAK,L,LM,2008
PAN,LM,UM,1998
PAN,UM,H,2017
PAN,UM,H,2021
PER,LM,UM,2008
PHL,LM,UM,2025
PLW,UM,H,2016
PLW,UM,H,2023
PNG,L,LM,2008
POL,LM,UM,1996
POL,UM,H,2009
PRI,UM,H,2002
PRT,UM,H,1994
PRY,LM,UM,2014
PSE,LM,UM,2022
ROU,LM,UM,2005
ROU,UM,H,2019
ROU,UM,H,2021
RUS,LM,UM,2004
RUS,UM,H,2012
RUS,UM,H,2023
SAU,UM,H,2004
SDN,L,LM,2007
SEN,L,LM,2009
SEN,L,LM,2018
SLB,L,LM,1992
SLB,L,LM,2008
SLB,L,LM,2010
SLV,LM,UM,2022
SSD,L,LM,2013
STP,L,LM,2008
SUR,LM,UM,2007
SVK,LM,UM,1996
SVK,UM,H,2007
SVN,UM,H,1997
SYC,UM,H,2014
TGO,L,LM,2025
THA,LM,UM,2010
TJK,L,LM,2014
TJK,L,LM,2020
TKM,L,LM,2000
TKM,LM,UM,2011
TLS,L,LM,2007
TON,LM,UM,2012
TON,LM,UM,2016
TTO,UM,H,2006
TUN,LM,UM,2010
TUR,LM,UM,1997
TUR,LM,UM,2000
TUR,LM,UM,2004
TUV,LM,UM,2011
TZA,L,LM,2019
UKR,L,LM,2002
UKR,LM,UM,2023
URY,UM,H,2012
UZB,L,LM,2009
VCT,LM,UM,2003
VEN,LM,UM,1997
VEN,UM,H,2014
VNM,L,LM,2009
VNM,LM,UM,2025
WSM,LM,UM,2016
WSM,LM,UM,2024
XKX,LM,UM,2018
YEM,L,LM,2009
ZAF,LM,UM,1999
ZAF,LM,UM,2004
ZMB,L,LM,2010
ZMB,L,LM,2022
ZWE,L,LM,2018
