Country Code,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ABW,AGEDEP,43.31798693,43.23083912,43.07802278,42.87533368,42.69130396,42.63696129,42.76850602,42.99176173,43.2605085,43.53544486,43.4533955,43.04777043,42.86498429,43.03852297,43.51535836,44.24778761,45.1551319,46.12500504,47.11667049,48.0999783,48.87846879,49.31994953,49.80107489,50.49975468,51.28952272,
AFE,AGEDEP,92.39795111,91.95507017,91.52700618,91.1357231,90.77287558,90.45395726,90.1559485,89.83145301,89.45567441,89.05269864,88.57257622,87.97720861,87.36077613,86.73709858,86.0934422,85.37869102,84.65201521,83.88053165,83.03409773,82.23609751,81.43377659,80.63433833,79.87946348,79.14751991,78.43805136,
AFG,AGEDEP,109.5860477,110.2193414,110.534611,110.5575396,110.285308,109.7285254,108.8891352,107.7372506,106.3343755,104.7994675,103.1444557,101.4583083,99.77313094,98.06355881,96.34639379,94.61323371,92.88987122,91.29361869,89.84960598,88.51202761,87.24781691,86.08346818,84.96248933,83.83617284,82.77684832,
AFW,AGEDEP,90.62906436,90.42243378,90.26683189,90.10975667,89.98031358,89.92596124,89.95971111,90.01565084,89.95822347,89.81649997,89.71124359,89.60345491,89.50260767,89.34868688,89.11755736,88.80857317,88.30343881,87.61882981,86.81180755,85.88616084,84.79886232,83.60965944,82.39347559,81.10228759,79.80233737,
AGO,AGEDEP,93.39505466,93.14260579,92.86898828,92.58015725,92.30377474,92.07169966,91.89664781,91.7757132,91.74374437,91.78354687,91.82838662,91.85690272,91.899377,91.94970355,92.05056189,92.1805019,92.18800411,92.07155429,91.90276941,91.64703963,91.3698275,91.03639831,90.58951186,90.05522528,89.40608064,
ALB,AGEDEP,58.59772903,57.8351706,56.73670221,55.61399781,54.52112291,53.44354077,52.41323532,51.4388392,50.47596292,49.46272901,48.40341392,47.39391652,46.63056142,46.22948913,46.09907972,46.0636825,46.04186419,46.17477818,46.50893245,47.04237531,47.68647127,48.44160172,49.25104634,50.02392582,50.97429383,
AND,AGEDEP,38.26092448,38.98984782,39.55640423,38.88033898,37.32678024,36.73065715,36.58909141,36.3435023,36.44311534,37.02651051,38.33496169,39.2481203,39.27276682,39.46177529,39.53712815,39.3616405,39.10387358,38.79835918,38.32563447,38.01230803,38.15390109,38.19592629,38.16870645,38.24846972,38.56495417,
ARB,AGEDEP,75.0620389,73.7283832,72.40171459,71.0991195,69.82773038,68.61031815,67.35543343,66.08120226,65.10219585,64.41059601,63.9926835,63.61704613,63.38897566,63.42028262,63.55837532,63.5340643,63.42272929,63.34581909,63.28168001,63.0627189,62.71499802,62.38669114,61.66623203,60.87368615,60.17767943,
ARE,AGEDEP,28.38947842,26.83214111,25.58071336,24.7137727,24.20340565,23.85084342,23.50120022,22.99348562,22.57225254,22.45720015,22.39292905,22.32541883,22.35112832,22.41632266,22.45733334,22.4526562,22.39338088,22.31315143,22.2647153,22.21562064,22.16525417,22.14127931,22.1229936,22.00266238,21.76996047,
ARG,AGEDEP,60.8399424,60.44208877,60.01001815,59.51577206,58.99088086,58.48853172,58.00035267,57.50504346,57.07418767,56.73568577,56.45214211,56.27395376,56.1467748,56.04870447,56.02564279,56.05228915,56.04617213,55.97280152,55.85292541,55.5931802,55.02079689,54.21952444,53.33854639,52.42433668,51.560957,
