Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,39.46432507,39.4419244,43.77565543,43.35638554,44.48882396,44.22594491,43.28292541,40.90216606,42.44488789,43.06184433,45.41611336,43.23377097,41.8701107,44.62052529,44.79970061,46.59285265,50.79121223,55.01251722,51.78522982,54.06070072,53.88412026,51.727256,50.65845761,55.89304113,58.8006573,56.25043416,58.68590324,59.16368514,60.24053866,56.62688176,57.22193169,57.24653443,55.96510183,59.63263001,82.4396515,68.44637579,60.48364832,58.04635122,,
AFE,,,,,,30.71914282,29.94685103,31.82159534,30.62792026,31.27223599,35.08040808,35.49847949,34.26694796,35.98327943,34.89925585,35.03472072,32.59718149,31.14613147,30.996923,30.25030377,32.9162844,33.62881383,33.11137727,37.07179384,38.38215061,36.10224546,37.72918904,42.0625778,42.58389994,43.35942291,43.92434673,,65.06702371,68.12919886,73.82614636,76.72681427,76.22192004,73.3412274,72.98227745,82.0091114,74.63035689,76.64447537,61.91180472,70.9125376,79.85964559,85.31112801,94.39419001,93.35924815,78.15406258,79.60510488,84.61972797,76.39545452,79.28207566,75.47416445,73.99620433,65.80451974,65.96999026,65.65777637,61.88065814,60.38962216,55.66913337,49.48916734,44.33225952,45.52390311,50.67791077,
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.842856866,6.839982237,9.388327721,10.58413068,11.57504424,4.959180376,4.47210363,4.321685417,3.9410571,3.981493795,3.888321746,3.841881205,3.512317033,3.22995723,3.09659809,,,,,
AFW,5.709637535,6.073111734,7.644584992,8.603105582,8.710084564,8.732643171,8.855069927,9.41685074,9.848943876,9.647320076,7.998427373,9.584502639,9.897915041,10.27605319,9.31246269,11.80914134,12.01156501,14.41976833,16.68975239,16.3073137,16.85598264,9.38384888,10.09057151,11.00507453,11.03614858,10.96636033,14.28651908,14.85829198,13.75292687,13.28646206,12.95567692,11.84012989,11.71942812,10.00078638,8.376880362,7.294365653,6.748355984,7.390673763,7.900279166,8.810007648,8.586793442,9.203603086,8.315415055,8.942796285,8.692543667,8.67513976,8.500442559,12.32843246,15.21254945,16.36299305,13.0127138,11.85751144,11.61222997,12.5774936,13.97594044,14.44158852,15.86066732,14.9291314,13.29344553,11.07885985,11.73430357,12.6487514,12.58142954,,,
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.27492802,18.3180075,14.63025796,13.1109176,13.39560287,11.37655908,8.844301746,7.025061944,7.645733744,7.168926409,6.580882966
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3109373,38.56672221,40.89041911,41.04892897,39.72199576,39.06036961,36.88088022,36.20986353,34.13246524,32.50735868,33.72559551,37.71933343,36.43416869,33.79123815,32.46656721,34.12608986,
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,13.53971698,13.74231975,12.89429343,13.12755136,12.73288435,13.55488097,13.10144389,12.58778883,13.54920811,14.69388017,13.59459416,13.30176206,15.15613359,15.59668216,11.2325391,14.67723027,15.06902114,16.31548293,18.89275116,18.49459574,16.62438125,19.72851252,24.27758985,28.70033644,30.79188219,33.25700197,38.28189734,38.12629079,39.03853494,35.41302179,,22.40539526,20.14984892,21.13399779,22.9497436,25.44311901,25.56981463,27.54953491,33.70933269,33.90486373,31.64483254,33.7454753,34.4164153,33.01807253,31.78377949,31.7948382,30.92986576,32.78445054,32.29588545,37.78854916,37.0223548,34.5051404,34.02795147,35.94159486,39.04136582,47.37656487,55.36908292,53.30535022,,,,,,,,
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.93984492,78.14889232,73.98430782,75.28849703,88.83569161,76.16766214,65.45743118,,,
ARG,13.61124436,14.08812177,12.01111434,11.5200602,10.6266941,10.10666974,11.0604754,10.94357073,13.86592329,15.97850118,17.5387441,18.02169837,17.63452604,16.70557572,19.17380828,16.44134984,13.56276729,18.38290986,20.55711741,24.05622763,25.39579275,33.55230678,33.90637227,28.11827564,25.00099884,17.36414138,16.90722949,21.29731488,20.33583548,39.71749502,15.60169481,12.58720349,15.44533545,18.28460493,20.280578,19.96060756,20.18700183,21.93345876,24.15329877,24.89334375,23.89473362,20.83357465,15.3318584,10.76270592,9.682518196,10.65349292,11.91026166,13.09854135,12.31394671,12.41620754,12.69010625,14.00871512,15.21281502,15.72909201,13.82376925,14.41423304,13.66763343,15.95849734,,14.47762924,15.74648977,13.26442898,12.88910093,15.35708234,15.11767784,17.59829274
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.85492197,28.4451646,35.36788787,40.0600551,42.38024049,48.91717311,45.63078261,48.87564437,51.54258581,55.50200273,60.15523792,72.19291409,61.67381255,52.55384268,55.40496026,64.37994332,70.53967725
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,40.01290199,38.08758571,29.02098611,28.72294614,32.56477005,30.65287049,36.08867252,32.12642675,33.13424534,32.18926589,38.19516518,37.13153938,38.13290804,38.9224318,40.20290664,42.81762656,40.94179887,36.37013249,42.4962425,46.37319489,51.79188478,51.73909577,53.01519967,53.77134965,56.90766628,60.08784048,58.26905273,54.42291661,53.93032909,56.97467556,56.86690256,58.65563542,65.79204509,69.96728036,67.71585243,61.8781905,61.27823541,56.03329474,48.63174113,47.0134239,44.22662526,41.65418746,41.94913127,53.77040578,45.43474642,38.36420892,37.11782779,39.35906988,37.41838042
