country_iso3_code,year,eci_hs92
AFG,1995,-0.601
AFG,1996,-0.59
AFG,1997,-0.255
AFG,1998,-0.725
AFG,1999,-0.527
AFG,2000,-0.453
AFG,2001,-0.119
AFG,2002,-0.301
AFG,2003,-0.199
AFG,2004,-0.322
AFG,2005,0.02
AFG,2006,-0.657
AFG,2007,-0.738
AFG,2008,-0.092
AFG,2009,0.373
AFG,2010,-0.162
AFG,2011,-0.918
AFG,2012,-0.771
AFG,2013,-0.795
AFG,2014,-1.027
AFG,2015,-1.377
AFG,2016,-1.526
AFG,2017,-1.418
AFG,2018,-1.325
AFG,2019,-1.225
AFG,2020,-1.154
AFG,2021,-1.327
AFG,2022,-1.364
AFG,2023,-1.277
AFG,2024,-0.818
ALB,1995,-0.456
ALB,1996,-0.226
ALB,1997,-0.351
ALB,1998,-0.355
ALB,1999,-0.3
ALB,2000,-0.262
ALB,2001,-0.295
ALB,2002,-0.194
ALB,2003,-0.101
ALB,2004,-0.122
ALB,2005,-0.134
ALB,2006,-0.279
ALB,2007,-0.296
ALB,2008,0.351
ALB,2009,0.357
ALB,2010,-0.374
ALB,2011,-0.465
ALB,2012,-0.3
ALB,2013,-0.264
ALB,2014,-0.402
ALB,2015,-0.505
ALB,2016,-0.428
ALB,2017,-0.331
ALB,2018,-0.257
ALB,2019,-0.292
ALB,2020,-0.24
ALB,2021,-0.22
ALB,2022,-0.279
ALB,2023,-0.156
ALB,2024,0.032
DZA,1995,-0.102
DZA,1996,-0.244
DZA,1997,-0.327
DZA,1998,-0.203
DZA,1999,-0.085
DZA,2000,-0.416
DZA,2001,-0.426
DZA,2002,-0.389
DZA,2003,-0.732
DZA,2004,-0.509
DZA,2005,-0.367
DZA,2006,-0.574
DZA,2007,-0.635
DZA,2008,-1.006
DZA,2009,-0.966
DZA,2010,-1.069
DZA,2011,-1.384
DZA,2012,-1.272
DZA,2013,-1.329
DZA,2014,-1.5
DZA,2015,-1.207
DZA,2016,-0.941
DZA,2017,-0.979
DZA,2018,-1.354
DZA,2019,-1.052
DZA,2020,-1.063
DZA,2021,-0.995
DZA,2022,-0.731
DZA,2023,-1.055
DZA,2024,-0.978
AGO,1995,-2.297
AGO,1996,-2.459
AGO,1997,-1.931
AGO,1998,-1.73
AGO,1999,-1.84
AGO,2000,-2.299
AGO,2001,-2.076
AGO,2002,-1.728
AGO,2003,-1.699
AGO,2004,-0.788
AGO,2005,-0.995
AGO,2006,-1.215
AGO,2007,-1.349
AGO,2008,-0.892
AGO,2009,-0.489
AGO,2010,-1.099
AGO,2011,-1.131
AGO,2012,-1.736
AGO,2013,-2.092
AGO,2014,-2.133
AGO,2015,-0.544
AGO,2016,-0.559
AGO,2017,-0.988
AGO,2018,-1.604
AGO,2019,-1.101
AGO,2020,-1.117
AGO,2021,-1.088
AGO,2022,-0.947
AGO,2023,-1.161
AGO,2024,-0.768
AZE,1995,-0.41
AZE,1996,0.316
AZE,1997,0.303
AZE,1998,0.444
AZE,1999,0.138
AZE,2000,-0.11
AZE,2001,-0.267
AZE,2002,-0.333
AZE,2003,-0.244
AZE,2004,-0.326
AZE,2005,-0.441
AZE,2006,-0.433
AZE,2007,-0.603
AZE,2008,-0.828
AZE,2009,-1.062
AZE,2010,-0.989
AZE,2011,-0.931
AZE,2012,-0.986
AZE,2013,-1.001
AZE,2014,-1.1
AZE,2015,-0.823
AZE,2016,-0.912
AZE,2017,-0.959
AZE,2018,-0.831
AZE,2019,-0.799
AZE,2020,-0.689
AZE,2021,-0.766
AZE,2022,-0.739
AZE,2023,-0.523
AZE,2024,-0.417
ARG,1995,0.618
ARG,1996,0.557
ARG,1997,0.546
ARG,1998,0.564
ARG,1999,0.611
ARG,2000,0.662
ARG,2001,0.607
ARG,2002,0.577
ARG,2003,0.551
ARG,2004,0.538
ARG,2005,0.584
ARG,2006,0.553
ARG,2007,0.532
ARG,2008,0.575
ARG,2009,0.482
ARG,2010,0.453
ARG,2011,0.427
ARG,2012,0.417
ARG,2013,0.411
ARG,2014,0.413
ARG,2015,0.367
ARG,2016,0.179
ARG,2017,0.175
ARG,2018,0.068
ARG,2019,0.063
ARG,2020,0.022
ARG,2021,-0.108
ARG,2022,-0.011
ARG,2023,0.011
ARG,2024,-0.053
AUS,1995,0.768
AUS,1996,0.762
AUS,1997,0.701
AUS,1998,0.654
AUS,1999,0.657
AUS,2000,0.652
AUS,2001,0.648
AUS,2002,0.643
AUS,2003,0.657
AUS,2004,0.594
AUS,2005,0.566
AUS,2006,0.565
AUS,2007,0.556
AUS,2008,0.471
AUS,2009,0.448
AUS,2010,0.328
AUS,2011,0.371
AUS,2012,0.35
AUS,2013,0.292
AUS,2014,0.252
AUS,2015,0.262
AUS,2016,0.241
AUS,2017,0.144
AUS,2018,0.151
AUS,2019,0.203
AUS,2020,0.21
AUS,2021,0.083
AUS,2022,0.108
AUS,2023,0.091
AUS,2024,0.131
AUT,1995,1.458
AUT,1996,1.432
AUT,1997,1.37
AUT,1998,1.376
AUT,1999,1.365
AUT,2000,1.442
AUT,2001,1.409
AUT,2002,1.455
AUT,2003,1.449
AUT,2004,1.402
AUT,2005,1.342
AUT,2006,1.34
AUT,2007,1.368
AUT,2008,1.354
AUT,2009,1.371
AUT,2010,1.413
AUT,2011,1.429
AUT,2012,1.384
AUT,2013,1.402
