Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.43832383,18.51293569,18.71499574,17.93424713,19.19330684,17.45676866,18.03532334,18.00023306,16.96418962,17.55008824,18.30940598,19.03668895,19.4802019,21.2249386,23.74314806,23.91958625,21.34896309,21.83465792,22.19779681,22.60527296,23.1851832,22.6383363,22.12871906,21.73110374,21.2100174,21.35527397,19.61759031,19.40578142,19.49541231,19.58256504,18.61508228,17.93173063
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.45562833,12.98670367,16.66847171,15.24357655,17.0345351,
AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,31.26989135,30.34419309,31.18053045,28.98499667,22.88872551,26.25037611,30.58105967,43.00039714,28.91945189,27.4418409,27.78888117,27.1594385,28.43275736,29.07212075,29.63480859,28.70570322,23.89411373,24.45135591,19.66567476,16.21942019,14.46537032,12.42119329,10.62275443,
ALB,,,,,,,,,,,,,,,,,,,,,35.14548255,32.1448264,34.49230123,36.69191551,38.34723543,33.45274869,32.09443393,33.56887838,32.68150975,32.47762018,30.36094681,7.603111096,5.656684102,13.67613745,18.8965849,23.48886714,22.82774758,20.81524715,22.2095425,24.31548359,32.383471,36.87448584,36.02251685,36.18441077,38.17111364,38.45288852,38.37330646,36.44509205,35.06199285,34.46966714,30.17462318,31.69034618,28.62308041,27.80694496,26.5299242,26.08104053,25.6267467,26.25966857,25.91958386,24.6048342,25.19757554,27.21505618,25.69481294,24.28651459,24.35524611,24.26641509
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,,,,,,,,,18.04683268,18.40369025,18.14273141,16.92803979,17.64047408,18.4684761,15.09231585,24.07937208,26.44823392,28.73883792,31.97659893,27.23570474,24.58090944,28.36746723,31.83881425,32.31527201,29.41291729,27.53582243,29.0348335,25.83874112,24.38668718,25.50236856,20.2623981,22.7810144,23.52225674,24.31030327,23.15228202,22.13344479,21.01979595,20.69145333,22.11855001,20.28223356,18.34935966,19.46833743,19.94209887,20.12502179,20.02594183,20.06134478,20.60515714,22.59682822,22.78514198,25.02979457,24.24681715,22.15618865,21.1313481,22.29082989,23.14383913,25.57137281,24.22889654,23.56480807,22.56108499,23.09443128,22.14998729,21.30594118,21.1936356,23.29104759,24.44039297,25.05550879
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.97810403,21.07143859,20.79145662,18.68413093,18.37912798,17.57821191,23.57302512,22.3738986,28.9130022,,,,,,,,,,,,,,,,
ARG,23.47876828,27.76589541,21.73050328,18.27251579,17.17889981,19.22342519,20.54254663,21.21503579,21.69049729,23.9906052,24.44009525,24.11303242,23.89154462,20.89381153,22.26033179,29.44104696,30.72943959,30.9416888,27.82189321,23.91514081,25.25778629,22.69108872,21.75494795,20.88775231,19.96409245,17.58906692,17.46176421,19.554866,18.6400389,15.51469828,13.99698158,14.6369774,16.70240577,19.05643407,19.93897526,17.93774611,18.08218126,19.37012354,19.93496169,18.0140244,16.19264939,14.17911832,11.96064809,15.13750756,15.89378728,17.3511469,18.33118672,19.51607916,19.01016098,15.58175264,16.64146616,17.2482847,15.85752542,16.28951119,15.97995408,15.56474508,14.27236275,15.16219875,15.2510495,14.19904614,14.28250537,17.29063258,17.61779019,18.49302899,15.90356666,16.00003475
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.34506062,28.47283222,17.06695896,12.45540381,20.23628063,16.15395543,17.88451095,16.20419366,16.21597597,16.41956918,21.71400015,20.83744658,24.8429527,27.08676191,28.1078274,35.09419069,41.85068025,43.50453186,46.83331579,42.88387857,39.37510944,30.73674486,23.59883562,21.212512,19.99505739,20.6125616,17.35771966,17.648376,16.74091087,15.81559843,17.77392125,21.20394186,21.06911323,20.57366192,21.35504476,21.41552849
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,30.21816215,30.24259985,29.74292771,29.51406915,30.00657833,31.05437637,32.22081166,31.38753169,32.43428024,31.33650387,31.42316017,30.59705184,30.02712214,29.028702,28.44238564,25.81142441,26.17321816,25.74996367,26.28222188,26.6432902,26.36994177,28.3547755,28.91065497,26.51142929,26.00483311,26.98367594,28.10396711,27.89808695,27.72666572,28.66142202,27.62356228,24.53485744,22.80648776,23.45295472,23.93052649,25.05723934,24.11138816,24.00091116,25.11567074,25.32969882,25.89196542,23.15820217,24.25546236,26.00703094,26.58806592,26.96762431,27.74128666,27.34717558,28.14940816,27.51298878,26.94613524,25.94328683,27.31759085,27.72863956,26.75823016,26.11138058,25.28410439,23.97442501,24.38638801,23.32198743,22.72793546,22.58263061,23.11568906,23.19324738,24.09197675,24.32871747
AUT,,,,,,,,,,,27.63187127,29.77425529,32.29654912,30.47632828,30.3614122,28.49347488,27.82806966,28.69949222,26.70022861,26.97750981,27.71229533,27.62026972,24.9152895,24.03775981,23.53299212,24.171501,23.95985379,24.53467295,25.29187265,25.55111119,25.75103147,26.84209691,26.42441171,25.90388399,26.55690275,25.68143529,25.97923942,25.54107351,25.58285019,25.0791471,25.70604997,24.92791306,23.62307749,24.19412123,23.76824666,23.23458642,22.8306808,23.13939735,23.53379701,22.6637108,21.86115542,22.70735925,22.95274343,23.31211015,22.96717884,22.8959622,23.32191024,23.84594512,24.31359376,25.08011172,25.1342567,25.86465416,25.21272038,24.68755842,23.54791121,23.52671002
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.25920873,11.45209581,21.81697475,20.95382166,26.25871364,15.64345299,29.10780941,36.99141943,35.51415451,28.51050303,23.13643204,22.88170667,34.08,52.88183027,57.71025298,41.30884408,29.70095273,21.39948167,18.5787748,18.81943177,18.16672554,20.17760455,22.45518662,25.79388814,27.43039375,27.82530342,25.03458822,23.81720782,20.69407681,21.1295518,22.66647928,16.22712525,12.01162625,17.40061594,17.60856816,16.29161696
BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,,,,,,,,,,,26.92219551,26.17319199,25.29276934,25.35429554,26.9000679,26.58318248,26.02409434,25.51081436,25.51102238,24.35284722,24.81975737,21.55826799,20.29564008,18.72058051,18.36695069,18.82190099,18.66555342,19.10863019,21.07564173,22.83655658,23.98038129,22.39168582,22.09815151,21.31809101,20.79848278,21.23174074,21.18466301,21.8542937,21.7804885,22.16653543,22.50706383,22.39027083,20.69642412,20.49418884,21.46185041,22.15389359,22.32543906,23.29301444,24.11814191,22.55005178,21.93824289,22.79000616,22.82362324,22.15585114,22.84091967,23.1519861,23.51982218,23.50415149,23.77498358,24.23120988,24.03387249,23.91638567,23.91611424,24.17458024,24.27798488,23.89457074
BEN,,,,,,,,,,,,,,,,,,,,,,,27.05232804,16.62673771,12.47550605,8.748403367,12.83768938,13.37416552,15.08535043,12.45710965,12.62154628,12.95583104,13.41680751,13.88251853,16.24278327,17.56486738,16.34026602,17.22596062,17.27875476,20.05968561,18.72600357,19.06306631,16.91268416,17.5433639,16.08666085,15.04108686,14.16144095,17.05747393,15.84500887,16.56555047,17.64999674,18.226328,16.2040296,20.70826275,21.6376627,20.49573923,19.72249305,23.4384504,25.90056276,25.17325563,25.20651739,28.44744444,30.73287577,34.12177731,34.66631864,35.4311376
BFA,,,,,,,,,,,,,,,,,,,,15.54795023,14.1196847,13.80871586,17.21710279,17.26397342,14.85305278,19.1403974,19.14394292,19.965683,18.45522718,19.6549793,17.74093187,20.00185363,19.49376999,18.75298704,25.7157288,22.47980673,22.55213559,24.22601591,22.37186228,17.09129272,16.49092883,13.66418715,13.35961387,14.39923886,15.63492283,15.4378656,15.89519415,18.18322396,17.30189639,18.79157105,20.12277427,21.11375025,22.15505363,23.48258207,18.66126058,19.14721161,20.2451558,20.8835009,20.15229636,18.84015652,17.75689484,18.10793988,18.14625725,18.36619179,17.20086765,16.72921771
BGD,,,,,,,,,,,,,,,,,,,,,14.4393913,17.15576644,17.36327909,16.56273677,16.48425757,15.8309437,16.17645483,15.47344203,15.73598307,16.12091443,16.45867552,16.89594746,17.30502928,17.94683201,18.40255619,19.11979582,20.7299506,21.81621451,22.12141282,22.7213703,23.80856257,24.17430673,24.34141614,24.67918886,24.99183394,25.83043551,26.14414575,26.17849707,26.2022714,26.20605702,26.24665618,27.42097337,28.26233501,28.38962075,28.57787571,28.88668925,30.23976392,30.94687312,31.82257477,32.21373311,31.30794134,31.01873874,32.04727558,30.95120008,30.70049002,28.54110038
