Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.517766497,2.510121457,2.47702407,2.794028849,3.59922179,4.100963775,4.277072978,4.425833642,4.777505083,5.622020209,6.18729481,6.565660336,6.666022669,6.670840363,4.205989994,2.86046778,4.206093989,1.991637655,3.262643743,3.439352185,3.585279667,3.68902193,3.733755148,3.225014904,2.926507475,2.582001062,2.272689704,2.628474918,2.355622775,,
AFE,,,,,,11.85155101,11.70630011,12.25937543,12.29919319,12.4287541,13.7198393,13.50139104,12.98676025,13.68279945,13.70878371,14.41945771,14.05190912,12.74135939,12.67029471,13.89498813,15.38198401,16.73983961,15.79793014,16.43316138,15.89154346,13.61331189,14.60197791,16.1729922,16.45144733,16.69286678,16.85049443,16.16678356,17.8783365,16.93878941,16.99095493,17.06130773,16.23955754,15.90787616,15.60206387,14.99349399,14.79389487,14.86109919,14.04934015,14.41203715,14.34722024,13.47300065,12.10842057,11.75968767,11.07234746,11.66291886,10.95755751,10.65450857,10.50772354,10.07416073,9.932069648,10.2441307,10.53317164,10.57264602,10.37919624,10.21809874,9.973702677,9.944675753,9.969502329,10.04530483,9.806950645,9.518265107
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.82275218,16.92386623,17.55400626,16.59821222,16.3855372,17.74730953,17.8391163,13.14987661,12.52257684,13.77918924,12.48608514,11.49986726,11.47758756,11.420006,4.114196613,3.530422461,6.160177217,7.043181081,7.528114629,8.493156816,10.19026196,7.540916863,8.417811844,
AFW,,,,,,,,,,,,,,,,,,,,,,21.0231468,20.44078396,19.17390872,14.92671521,16.93567908,17.68746399,15.57355428,16.36362924,14.56765472,14.68034154,15.45375368,14.12846087,15.29552195,18.11023057,18.61360811,17.87750735,18.34136882,17.01405306,13.47347802,12.44912347,12.40422224,11.44143135,11.52731577,10.71763957,10.46237949,9.733659156,9.6421913,9.543240976,9.354176571,8.234998803,8.811270685,8.809748564,10.04630539,10.48413795,10.25144762,10.01005556,10.12566108,10.5778387,9.915651642,9.352678314,10.08982548,10.30430601,10.42274381,10.28555503,9.897418454
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.726575286,3.885171723,4.679179848,3.895781992,3.661849599,3.442696492,3.532351396,4.975453095,4.487228855,4.178085058,4.361918025,4.779643734,4.726180924,5.240515596,5.782788995,5.728969445,5.340746295,5.411448772,6.097457182,6.19373756,6.716478137,7.400666244,6.576162598,6.79262097
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.779267964,5.554143543,5.183018603,5.131688159,5.065613558,4.711459153,4.339241272,4.307757976,4.343207119,4.474331529,4.794124735,5.309709539,5.731781571,5.422752704,5.656708948,5.960640217,6.192222426,5.37937813,5.747654228,5.907101717,6.27591543,6.303405541,6.516401133,6.708115065,6.967485863,7.069412463,6.918296958,7.504616345,7.203061146,6.505973638,6.034119771
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.830854431,3.451746698,3.43814817,3.615787889,3.655047886,3.476748213,3.435046622,3.398816388,3.576934384,3.612316813,3.699789802,3.660604015,3.723835042,3.838156155,3.676873663,3.706089854,3.74112486,3.748832726,3.610284486,3.673689514,3.733569332,4.063721776,3.575667147,3.397436996,3.125167272,
ARB,,,,,,,,,,,,,,,,6.877382554,6.43921303,6.445097089,6.619202449,6.424820593,5.903569959,6.935725471,7.475346053,8.362217201,9.253669508,9.557551815,10.30614835,11.01457599,12.02393394,11.93385988,9.163843259,10.49058751,10.63185919,10.49514125,11.22255576,11.98594391,12.32599451,12.58612602,13.17546248,12.79370952,12.95570088,10.62940646,10.87635759,10.80316876,10.32761206,9.517139477,9.148983297,9.058924191,8.81392818,9.627134643,9.518932892,9.313376702,9.270247547,9.363501031,9.893706547,10.72458264,10.94986509,10.63746676,10.31608314,10.3816914,11.1964405,11.72994739,11.97024537,12.19881021,12.1651392,11.98873248
ARE,,,,,,,,,,,,,,,,0.909847396,1.122606647,2.744393213,3.432078314,3.057965293,3.728052988,6.412562989,7.92708675,8.769847654,9.144477047,8.9276014,8.275724508,8.774333054,8.840692909,8.166898463,7.494109179,7.422868997,7.583716167,7.843976873,9.471981368,9.737661022,9.543302529,11.3524074,12.41003085,12.30422835,13.04398532,13.3137217,13.06355532,12.26243564,11.5123693,10.60808756,9.657045672,9.02554579,8.600261024,9.195329213,8.098830062,7.856323643,7.832353832,7.6905088,7.878194254,8.885025554,9.041259172,9.135053506,8.723034843,8.842882725,8.992073716,8.77234435,8.544362524,9.458594781,9.373652894,
ARG,,,,,,41.18416018,41.00858489,37.82402724,36.19621884,36.64543034,31.54474366,35.76285897,36.35807353,34.33397467,34.03688521,38.21510828,39.11676033,36.59498673,34.12760921,32.68515767,29.47609699,28.76523629,31.36025626,30.66946753,29.7084408,29.64184731,27.41959716,27.49664628,27.99967586,30.94937189,26.78970455,24.38644909,21.85913156,18.23991153,17.81909171,17.24675211,17.53572329,18.22790575,17.83795848,16.96152506,16.49427194,16.09322588,20.34777391,22.48675059,18.93701362,18.34041594,17.87779386,17.04741545,16.5383661,15.58377727,15.84486081,15.85069839,15.21680091,15.01105426,14.77277855,14.18158545,13.48802597,12.83516834,14.0601434,13.54083907,14.59052951,15.55841698,16.41656862,16.52555002,15.18504581,13.58365705
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.424758532,9.68257532,9.666405536,9.206171059,10.28464998,10.63112611,11.27191844,11.71149186,12.3449098,11.03159056,11.43219296,10.23922397,10.15771623,10.99196769
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,3.359296602,3.748264692,3.71734649,3.95671383,3.746126193,3.871829105,3.67431983,3.516702154,3.191521347,2.810485176,2.595724689,2.297505334,2.315760352,2.496634534,2.247174509,2.03687247,1.803848647,1.674448368,1.683961187,1.596788971,1.605696592,1.624437848,1.644082146,1.599450818,1.703804657,1.776192342,1.865719744,1.811561516,1.74970536,1.767937908,1.631004524,1.536749548,2.013836948,2.094399151,2.181899783,2.055216472,2.733567301,2.769636616,2.801703592,2.875733789,2.959863517,3.008383618,3.011749664,2.911250925,2.775016529,2.704114905,2.448044197,2.53289006,2.437142907
AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6970346,12.4863547,12.49354173,12.7839172,13.1028963,13.0237878,12.65584093,12.1885162,12.34775596,11.84764583,11.42483991,10.80514812,10.4098669,10.72131808,10.76061474,10.16862115,9.670441392,9.103107448,9.006900472,8.33320822,7.876168751,7.250008785,6.908725528,6.474757695,6.237000542,6.161871538,5.936287318,5.637071151,5.580257544,5.451709173,5.50480994,5.430212867,5.288754086,5.269356422,5.376330445,5.317145616
AUT,,,,,,,,,,,,,,,,,22.99350703,22.34655495,22.72033726,22.06273528,21.90906768,21.44452509,20.80751581,20.72814508,20.35030895,20.68366095,20.67460922,20.05758739,20.1542723,20.04993538,20.23295653,19.80995265,19.09480953,18.04144534,17.9343068,18.50195397,18.21161676,18.30891917,18.24244595,18.41124208,18.72669104,18.86650637,18.28892364,17.96134327,17.80207847,17.85034335,18.27817233,18.54872112,17.89164925,16.82054319,17.01462367,17.14464731,17.25648309,17.10638988,17.18677907,17.24292873,17.66822515,17.44270516,17.3211161,17.10228587,16.59732647,16.97944941,16.65157884,15.94139153,15.13375273,15.22715101
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.63301501,16.65419162,21.87713948,17.90286624,12.66474513,11.53341457,10.42962746,8.393756135,8.324129512,6.042224047,5.292384646,6.187448265,7.430927835,8.636395438,8.283510351,6.48752246,5.772903308,4.98404471,4.705609759,5.525890763,4.808194984,3.988326101,4.23610388,4.215736826,4.707010697,4.990805443,4.930062292,4.699464584,4.620186785,5.003528857,6.101565073,6.419092907,5.283389825,5.133746561,5.547871474,5.979751189
