Code,Year,TFP
ALB,1974,0.72851676
ALB,1975,0.733268
ALB,1976,0.72734034
ALB,1977,0.7194942
ALB,1978,0.71248573
ALB,1979,0.7047344
ALB,1980,0.69948125
ALB,1981,0.6953136
ALB,1982,0.6671234
ALB,1983,0.6303324
ALB,1984,0.5841931
ALB,1985,0.5650946
ALB,1986,0.5717802
ALB,1987,0.5388052
ALB,1988,0.508964
ALB,1989,0.5362841
ALB,1990,0.47781977
ALB,1991,0.34846136
ALB,1992,0.39136967
ALB,1993,0.4431677
ALB,1994,0.44190934
ALB,1995,0.51405877
ALB,1996,0.54277486
ALB,1997,0.4757744
ALB,1998,0.513326
ALB,1999,0.57324106
ALB,2000,0.5934749
ALB,2001,0.6314217
ALB,2002,0.65639836
ALB,2003,0.68381697
ALB,2004,0.70889914
ALB,2005,0.7384057
ALB,2006,0.7755991
ALB,2007,0.8085433
ALB,2008,0.9342478
ALB,2009,0.9510185
ALB,2010,1.0140753
ALB,2011,1.0997525
ALB,2012,0.99252456
ALB,2013,1.0029777
ALB,2014,1.0847216
ALB,2015,1.0457238
ALB,2016,0.98269004
ALB,2017,0.9728377
ALB,2018,0.9606835
ALB,2019,0.94389987
ALB,2020,0.96712697
ALB,2021,1
ALB,2022,0.99581844
ALB,2023,1.0222416
AGO,1974,1.7650068
AGO,1975,1.5903429
AGO,1976,1.435887
AGO,1977,1.3803774
AGO,1978,1.2548442
AGO,1979,1.2116674
AGO,1980,1.2036531
AGO,1981,1.1133589
AGO,1982,1.0725003
AGO,1983,1.082048
AGO,1984,1.1071501
AGO,1985,1.1204934
AGO,1986,1.140987
AGO,1987,1.1960675
AGO,1988,1.2439249
AGO,1989,1.2353104
AGO,1990,1.2191417
AGO,1991,1.1784029
AGO,1992,1.0364467
AGO,1993,0.7474504
AGO,1994,0.7179501
AGO,1995,0.7665314
AGO,1996,0.7817039
AGO,1997,0.7913816
AGO,1998,0.7655348
AGO,1999,0.7382152
AGO,2000,0.7483403
AGO,2001,0.76223373
AGO,2002,0.8577449
AGO,2003,0.8608963
AGO,2004,0.919392
AGO,2005,1.021288
AGO,2006,1.1029571
AGO,2007,1.2118402
AGO,2008,1.2687297
AGO,2009,1.2030499
AGO,2010,1.2055238
AGO,2011,1.185355
AGO,2012,1.2290515
AGO,2013,1.2384452
AGO,2014,1.2499924
AGO,2015,1.218221
AGO,2016,1.156446
AGO,2017,1.1367621
AGO,2018,1.105635
AGO,2019,1.0791695
AGO,2020,1.0198766
AGO,2021,1
AGO,2022,1.004963
AGO,2023,0.99647456
ARG,1972,1.3074709
ARG,1973,1.3154576
ARG,1974,1.3285782
ARG,1975,1.2834727
ARG,1976,1.2541258
ARG,1977,1.2749014
ARG,1978,1.1990423
ARG,1979,1.2413998
ARG,1980,1.2252141
ARG,1981,1.136609
ARG,1982,1.085022
ARG,1983,1.1032873
ARG,1984,1.1034441
ARG,1985,1.0157499
ARG,1986,1.0707935
ARG,1987,1.078701
ARG,1988,1.0403646
ARG,1989,0.9618715
ARG,1990,0.9382841
ARG,1991,1.0158916
ARG,1992,1.0971822
ARG,1993,1.1367128
ARG,1994,1.1640667
ARG,1995,1.1340115
ARG,1996,1.1615855
ARG,1997,1.2005817
ARG,1998,1.1932284
ARG,1999,1.1337098
ARG,2000,1.1124005
ARG,2001,1.0689996
ARG,2002,0.97789836
ARG,2003,1.0420003
ARG,2004,1.0872892
ARG,2005,1.1313851
ARG,2006,1.176056
ARG,2007,1.2184323
ARG,2008,1.2148551
ARG,2009,1.131392
ARG,2010,1.198247
ARG,2011,1.2175671
ARG,2012,1.1764957
ARG,2013,1.1721092
ARG,2014,1.1229379
ARG,2015,1.1200236
ARG,2016,1.1064203
ARG,2017,1.1069436
ARG,2018,1.0631099
ARG,2019,1.0276719
ARG,2020,0.9987635
ARG,2021,1
ARG,2022,1.0393263
ARG,2023,0.9665904
ARM,1994,0.24896985
ARM,1995,0.26707086
ARM,1996,0.28978342
ARM,1997,0.3116242
ARM,1998,0.34207898
ARM,1999,0.36146826
ARM,2000,0.387223
ARM,2001,0.43346342
ARM,2002,0.54924875
ARM,2003,0.6218588
ARM,2004,0.6877045
ARM,2005,0.75951266
ARM,2006,0.8321998
ARM,2007,0.90384626
ARM,2008,0.8441081
ARM,2009,0.7714679
ARM,2010,0.7584262
ARM,2011,0.78606206
ARM,2012,0.82480854
ARM,2013,0.8291671
ARM,2014,0.84845734
ARM,2015,0.9276919
ARM,2016,0.95378256
ARM,2017,1.0272477
ARM,2018,1.0039375
ARM,2019,1.0511035
ARM,2020,1.0086291
ARM,2021,1
ARM,2022,1.0690528
ARM,2023,1.1073676
AUS,1954,0.7235017
AUS,1955,0.7297465
AUS,1956,0.71434623
AUS,1957,0.7172177
AUS,1958,0.7517213
AUS,1959,0.78088635
AUS,1960,0.7720821
AUS,1961,0.76868683
AUS,1962,0.7866371
AUS,1963,0.8056246
AUS,1964,0.8157366
AUS,1965,0.80029607
AUS,1966,0.81040305
AUS,1967,0.815717
AUS,1968,0.8387824
AUS,1969,0.8627029
AUS,1970,0.85657823
AUS,1971,0.8569385
AUS,1972,0.8552494
AUS,1973,0.8602231
AUS,1974,0.84082097
AUS,1975,0.8550736
AUS,1976,0.85956657
AUS,1977,0.84629095
AUS,1978,0.8578842
AUS,1979,0.85460526
AUS,1980,0.8445388
AUS,1981,0.84685713
AUS,1982,0.81968796
AUS,1983,0.8549393
AUS,1984,0.85470486
AUS,1985,0.85225946
AUS,1986,0.8319685
AUS,1987,0.84918946
AUS,1988,0.8437393
AUS,1989,0.8314161
AUS,1990,0.8128555
AUS,1991,0.8247206
AUS,1992,0.8506408
AUS,1993,0.865178
AUS,1994,0.86624247
AUS,1995,0.865887
AUS,1996,0.87081367
AUS,1997,0.8899471
AUS,1998,0.90939736
AUS,1999,0.9185739
AUS,2000,0.9056273
AUS,2001,0.92472506
AUS,2002,0.93735176
AUS,2003,0.948415
AUS,2004,0.9539472
AUS,2005,0.9470167
AUS,2006,0.9545723
AUS,2007,0.9551017
AUS,2008,0.9416378
AUS,2009,0.9449984
AUS,2010,0.9550942
AUS,2011,0.9580534
AUS,2012,0.9590269
AUS,2013,0.9655672
AUS,2014,0.9706843
AUS,2015,0.9814696
AUS,2016,0.9833573
AUS,2017,0.9915282
AUS,2018,0.98653305
AUS,2019,0.9630459
AUS,2020,0.981769
AUS,2021,1
AUS,2022,1.0055133
AUS,2023,1.0010729
AUT,1954,0.5088148
AUT,1955,0.54067075
AUT,1956,0.55743045
AUT,1957,0.5748427
AUT,1958,0.5866176
AUT,1959,0.59215707
AUT,1960,0.624788
AUT,1961,0.63832045
AUT,1962,0.6388971
AUT,1963,0.6559176
AUT,1964,0.6785751
AUT,1965,0.6820375
AUT,1966,0.7033238
AUT,1967,0.716562
AUT,1968,0.73725307
AUT,1969,0.7676621
AUT,1970,0.8097643
AUT,1971,0.81834215
AUT,1972,0.8286676
AUT,1973,0.8385708
AUT,1974,0.8201372
AUT,1975,0.8253026
AUT,1976,0.8445588
AUT,1977,0.85776424
AUT,1978,0.8562068
AUT,1979,0.87155426
AUT,1980,0.86218154
AUT,1981,0.8670107
AUT,1982,0.8763899
AUT,1983,0.8958288
AUT,1984,0.88635695
AUT,1985,0.895242
AUT,1986,0.9016902
AUT,1987,0.9057427
AUT,1988,0.91493714
AUT,1989,0.9216027
AUT,1990,0.93456584
AUT,1991,0.9376886
AUT,1992,0.9498592
AUT,1993,0.946053
AUT,1994,0.9549658
AUT,1995,0.9778851
AUT,1996,0.9704336
AUT,1997,0.9688024
AUT,1998,0.9869434
AUT,1999,0.9955421
AUT,2000,1.0033119
AUT,2001,0.9999362
AUT,2002,1.002169
AUT,2003,0.99788177
AUT,2004,1.0053371
AUT,2005,1.016857
AUT,2006,1.032411
AUT,2007,1.0489863
AUT,2008,1.0402191
AUT,2009,1.0118222
AUT,2010,1.0178126
AUT,2011,1.0243318
AUT,2012,1.0232188
AUT,2013,1.0133867
AUT,2014,1.009378
AUT,2015,1.0167227
AUT,2016,1.015063
AUT,2017,1.0197301
AUT,2018,1.0200267
AUT,2019,1.0150965
AUT,2020,0.99616605
AUT,2021,1
AUT,2022,1.0249037
AUT,2023,1.0012581
BHR,1974,3.1553843
BHR,1975,2.747532
BHR,1976,3.125605
BHR,1977,3.1054492
BHR,1978,2.962502
BHR,1979,2.7568638
BHR,1980,2.5352232
BHR,1981,2.1930842
BHR,1982,1.8879452
BHR,1983,1.8427198
BHR,1984,1.7510613
BHR,1985,1.4168392
BHR,1986,1.3885149
BHR,1987,1.3725361
BHR,1988,1.4406587
BHR,1989,1.407648
BHR,1990,1.4152433
BHR,1991,1.407898
BHR,1992,1.4485301
BHR,1993,1.552681
BHR,1994,1.455432
BHR,1995,1.439688
BHR,1996,1.4478593
BHR,1997,1.435463
BHR,1998,1.4605001
BHR,1999,1.4792315
BHR,2000,1.5195507
BHR,2001,1.4999217
BHR,2002,1.4602275
BHR,2003,1.4616975
BHR,2004,1.4759027
BHR,2005,1.4584422
BHR,2006,1.4375156
BHR,2007,1.4048607
BHR,2008,1.3318882
BHR,2009,1.2705994
BHR,2010,1.2680411
BHR,2011,1.2606622
BHR,2012,1.2447394
BHR,2013,1.2251024
BHR,2014,1.1969557
BHR,2015,1.1558832
BHR,2016,1.1155125
BHR,2017,1.1017847
BHR,2018,1.0605974
BHR,2019,1.0525762
BHR,2020,0.988826
BHR,2021,1
BHR,2022,0.99517006
BHR,2023,0.9661189
BRB,1964,0.96063304
BRB,1965,1.0109925
BRB,1966,0.99318594
BRB,1967,1.097975
BRB,1968,1.1296192
BRB,1969,1.1839257
BRB,1970,1.2646465
BRB,1971,1.3151366
BRB,1972,1.325236
BRB,1973,1.337419
BRB,1974,1.2825903
BRB,1975,1.3461258
BRB,1976,1.3257221
BRB,1977,1.3774935
BRB,1978,1.4303024
BRB,1979,1.4140735
BRB,1980,1.462247
BRB,1981,1.3851066
BRB,1982,1.3232691
BRB,1983,1.3115863
BRB,1984,1.3499999
BRB,1985,1.3468336
BRB,1986,1.3593256
BRB,1987,1.3500694
BRB,1988,1.3414463
BRB,1989,1.2870551
BRB,1990,1.2518547
BRB,1991,1.1756679
BRB,1992,1.1373743
BRB,1993,1.1940719
BRB,1994,1.1603059
BRB,1995,1.0881999
BRB,1996,1.0805961
BRB,1997,1.0938482
BRB,1998,1.0800536
BRB,1999,1.043425
BRB,2000,1.0513917
BRB,2001,1.0103267
BRB,2002,1.0199496
BRB,2003,1.0298171
BRB,2004,1.0148135
BRB,2005,1.0334849
BRB,2006,1.0936655
BRB,2007,1.1342319
BRB,2008,1.189944
BRB,2009,1.2168976
BRB,2010,1.2360256
BRB,2011,1.2077771
BRB,2012,1.214879
BRB,2013,1.1817732
BRB,2014,1.1798861
BRB,2015,1.13127
BRB,2016,1.1136482
BRB,2017,1.1392304
BRB,2018,1.133442
BRB,2019,1.1647875
BRB,2020,1.0195619
BRB,2021,1
BRB,2022,1.1451195
BRB,2023,1.1761814
BEL,1954,0.51948684
BEL,1955,0.5322253
BEL,1956,0.54293877
BEL,1957,0.54589295
BEL,1958,0.5451376
BEL,1959,0.56346124
BEL,1960,0.5816205
BEL,1961,0.60190177
BEL,1962,0.62060004
BEL,1963,0.6384712
BEL,1964,0.66807437
BEL,1965,0.68189687
BEL,1966,0.6892838
BEL,1967,0.7080347
BEL,1968,0.732213
BEL,1969,0.75748307
BEL,1970,0.7941949
BEL,1971,0.80608207
BEL,1972,0.8406908
BEL,1973,0.87581336
BEL,1974,0.89297587
BEL,1975,0.87585723
BEL,1976,0.90676343
BEL,1977,0.9044855
BEL,1978,0.9141377
BEL,1979,0.9161389
BEL,1980,0.94416994
BEL,1981,0.9473214
BEL,1982,0.9539577
BEL,1983,0.9510506
BEL,1984,0.95265806
BEL,1985,0.9508694
BEL,1986,0.95941705
BEL,1987,0.96992415
BEL,1988,0.9908188
BEL,1989,1.0000374
BEL,1990,0.9972621
BEL,1991,1.0090709
BEL,1992,1.01605
BEL,1993,1.014218
BEL,1994,1.0345693
BEL,1995,1.0298427
BEL,1996,1.0270175
BEL,1997,1.0404738
BEL,1998,1.0337781
BEL,1999,1.0407071
BEL,2000,1.0398884
BEL,2001,1.0257866
BEL,2002,1.021553
BEL,2003,1.0176897
BEL,2004,1.036837
