Country Code,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ABW,TO,145.0728795,140.3911086,133.2307714,132.7942913,132.4309298,145.0502801,141.0426267,139.9723095,139.1101498,137.5565759,135.4646547,154.4377869,156.6451972,155.7319044,156.4910528,140.4930011,136.8872633,138.7166201,138.8249722,137.9619293,122.723738,139.9177977,160.6345464,159.0185969,160.3652788,
AFE,TO,46.55716908,47.9559637,57.29430389,54.86581883,55.90146908,58.65830063,59.22119685,64.92655225,72.11395298,60.82678973,61.1440016,63.06839215,61.02621519,61.47494765,59.89988482,54.91933504,52.95320186,51.83320718,55.02203789,53.52812918,49.52170478,54.50126452,57.15277627,56.17052775,54.42217832,
AFG,TO,,,,,,,,,,,,,,,,,,,,,46.70989455,51.41171637,72.88546961,67.58466515,,
AFW,TO,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,TO,,,90.57082097,90.68071618,90.38603847,95.34145929,84.62460412,97.2256307,108.6804087,102.2631833,90.99406314,89.03694434,81.93947855,77.34980137,69.58014245,54.97938088,47.01556614,45.66434235,58.91648008,60.71482433,54.34422868,61.52621367,55.25477327,53.03348363,50.84223056,
ALB,TO,61.60926104,64.24744626,65.99146503,64.8232151,65.03793832,69.11629266,72.20190895,79.91190089,75.24854728,73.32135756,75.53253297,80.69899853,76.96835832,75.75061856,75.02120231,71.27944766,74.01445045,76.78738179,75.69407837,75.38212893,59.52069944,75.59040409,84.69804359,82.3524934,79.45463608,
AND,TO,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,TO,72.01320139,73.22578749,73.51966997,80.17857909,84.50680772,88.64571645,88.94087196,92.9395641,96.75734782,88.78404998,85.47222344,88.27789257,89.76974843,88.75525732,86.56253762,81.68339044,76.04302974,79.45303449,79.88203961,79.06962264,74.50459199,79.45842845,86.79323932,86.74665862,62.20971088,
ARE,TO,,89.86457993,93.07165881,102.3001695,116.6226125,119.5528716,119.4706696,136.7981529,148.513544,153.4619444,135.4857091,144.1767869,156.6376945,157.398084,159.5156151,164.2861827,165.3950192,165.4765425,154.747005,163.8221529,181.2918882,182.9093551,185.741661,199.0449792,,
ARG,TO,22.62244478,21.85225545,41.75272436,40.64474803,40.69264611,40.55127097,40.43347987,40.94517062,40.40267338,34.05712691,34.97101326,35.206155,30.52654237,29.333929,28.40679365,22.48622609,26.09388785,25.28960114,30.76253595,32.63061505,30.20369881,33.07868957,31.58017926,26.67695125,27.92976085,
