Code,Year,IncomeGroup,AGEDEP,GE,GFCF,TO
ABW,1960,,,,,
ABW,1961,,,,,
ABW,1962,,,,,
ABW,1963,,,,,
ABW,1964,,,,,
ABW,1965,,,,,
ABW,1966,,,,,
ABW,1967,,,,,
ABW,1968,,,,,
ABW,1969,,,,,
ABW,1970,,,,,
ABW,1971,,,,,
ABW,1972,,,,,
ABW,1973,,,,,
ABW,1974,,,,,
ABW,1975,,,,,
ABW,1976,,,,,
ABW,1977,,,,,
ABW,1978,,,,,
ABW,1979,,,,,
ABW,1980,,,,,
ABW,1981,,,,,
ABW,1982,,,,,
ABW,1983,,,,,
ABW,1984,,,,,
ABW,1985,,,,,
ABW,1986,,,,,
ABW,1987,,,,,
ABW,1988,,,,,
ABW,1989,,,,,
ABW,1990,,,,,
ABW,1991,UM,,,,
ABW,1992,UM,,,,
ABW,1993,UM,,,,
ABW,1994,H,,,,
ABW,1995,H,,,,
ABW,1996,H,,,,
ABW,1997,H,,,,
ABW,1998,H,,,,
ABW,1999,H,,,,
ABW,2000,H,43.31798693,,,145.0728795
ABW,2001,H,43.23083912,,,140.3911086
ABW,2002,H,43.07802278,,,133.2307714
ABW,2003,H,42.87533368,,,132.7942913
ABW,2004,H,42.69130396,0.8951417,,132.4309298
ABW,2005,H,42.63696129,1.2500659,,145.0502801
ABW,2006,H,42.76850602,1.2471197,,141.0426267
ABW,2007,H,42.99176173,1.2515751,,139.9723095
ABW,2008,H,43.2605085,1.2550503,,139.1101498
ABW,2009,H,43.53544486,1.3983691,,137.5565759
ABW,2010,H,43.4533955,1.0023954,,135.4646547
ABW,2011,H,43.04777043,1.0015699,,154.4377869
ABW,2012,H,42.86498429,1.0017778,,156.6451972
ABW,2013,H,43.03852297,1.00201,,155.7319044
ABW,2014,H,43.51535836,0.6967705,,156.4910528
ABW,2015,H,44.24778761,0.6950388,,140.4930011
ABW,2016,H,45.1551319,0.6956408,,136.8872633
ABW,2017,H,46.12500504,0.6958363,,138.7166201
ABW,2018,H,47.11667049,0.9066629,,138.8249722
ABW,2019,H,48.0999783,0.9077089,,137.9619293
ABW,2020,H,48.87846879,0.9047216,,122.723738
ABW,2021,H,49.31994953,0.9064944,,139.9177977
ABW,2022,H,49.80107489,1.0084741,,160.6345464
ABW,2023,H,50.49975468,0.6576186,,159.0185969
ABW,2024,H,51.28952272,0.6567856,,160.3652788
ABW,2025,H,,,,
ABW,2026,H,,,,
AFE,1960,,,,,
AFE,1961,,,,,
AFE,1962,,,,,
AFE,1963,,,,,
AFE,1964,,,,,
AFE,1965,,,,,
AFE,1966,,,,,
AFE,1967,,,,,
AFE,1968,,,,,
AFE,1969,,,,,
AFE,1970,,,,,
AFE,1971,,,,,
AFE,1972,,,,,
AFE,1973,,,,,
AFE,1974,,,,,
AFE,1975,,,,,
AFE,1976,,,,,
AFE,1977,,,,,
AFE,1978,,,,,
AFE,1979,,,,,
AFE,1980,,,,,
AFE,1981,,,,,
AFE,1982,,,,,
AFE,1983,,,,,
AFE,1984,,,,,
AFE,1985,,,,,
AFE,1986,,,,,
AFE,1987,,,,,
AFE,1988,,,,,
AFE,1989,,,,,
AFE,1990,,,,,
AFE,1991,,,,,
AFE,1992,,,,,
AFE,1993,,,,,
AFE,1994,,,,18.43832383,
AFE,1995,,,,18.51293569,
AFE,1996,,,,18.71499574,
AFE,1997,,,,17.93424713,
AFE,1998,,,,19.19330684,
AFE,1999,,,,17.45676866,
AFE,2000,,92.39795111,,18.03532334,46.55716908
AFE,2001,,91.95507017,,18.00023306,47.9559637
AFE,2002,,91.52700618,,16.96418962,57.29430389
AFE,2003,,91.1357231,,17.55008824,54.86581883
AFE,2004,,90.77287558,,18.30940598,55.90146908
AFE,2005,,90.45395726,,19.03668895,58.65830063
AFE,2006,,90.1559485,,19.4802019,59.22119685
AFE,2007,,89.83145301,,21.2249386,64.92655225
AFE,2008,,89.45567441,,23.74314806,72.11395298
AFE,2009,,89.05269864,,23.91958625,60.82678973
AFE,2010,,88.57257622,,21.34896309,61.1440016
AFE,2011,,87.97720861,,21.83465792,63.06839215
AFE,2012,,87.36077613,,22.19779681,61.02621519
AFE,2013,,86.73709858,,22.60527296,61.47494765
AFE,2014,,86.0934422,,23.1851832,59.89988482
AFE,2015,,85.37869102,,22.6383363,54.91933504
AFE,2016,,84.65201521,,22.12871906,52.95320186
AFE,2017,,83.88053165,,21.73110374,51.83320718
AFE,2018,,83.03409773,,21.2100174,55.02203789
AFE,2019,,82.23609751,,21.35527397,53.52812918
AFE,2020,,81.43377659,,19.61759031,49.52170478
AFE,2021,,80.63433833,,19.40578142,54.50126452
AFE,2022,,79.87946348,,19.49541231,57.15277627
AFE,2023,,79.14751991,,19.58256504,56.17052775
AFE,2024,,78.43805136,,18.61508228,54.42217832
AFE,2025,,,,17.93173063,
AFG,1960,,,,,
AFG,1961,,,,,
AFG,1962,,,,,
AFG,1963,,,,,
AFG,1964,,,,,
AFG,1965,,,,,
AFG,1966,,,,,
AFG,1967,,,,,
AFG,1968,,,,,
AFG,1969,,,,,
AFG,1970,,,,,
AFG,1971,,,,,
AFG,1972,,,,,
AFG,1973,,,,,
AFG,1974,,,,,
AFG,1975,,,,,
AFG,1976,,,,,
AFG,1977,,,,,
AFG,1978,,,,,
AFG,1979,,,,,
AFG,1980,,,,,
