Code,Year,IncomeGroup,AGEDEP,GE,IND,TO,CREDIT
ABW,2000,H,43.31798693,0.8951417,4.100963775,145.0728795,44.79970061
ABW,2001,H,43.23083912,0.8951417,4.277072978,140.3911086,46.59285265
ABW,2002,H,43.07802278,0.8951417,4.425833642,133.2307714,50.79121223
ABW,2003,H,42.87533368,0.8951417,4.777505083,132.7942913,55.01251722
ABW,2004,H,42.69130396,0.8951417,5.622020209,132.4309298,51.78522982
ABW,2005,H,42.63696129,1.2500659,6.18729481,145.0502801,54.06070072
ABW,2006,H,42.76850602,1.2471197,6.565660336,141.0426267,53.88412026
ABW,2007,H,42.99176173,1.2515751,6.666022669,139.9723095,51.727256
ABW,2008,H,43.2605085,1.2550503,6.670840363,139.1101498,50.65845761
ABW,2009,H,43.53544486,1.3983691,4.205989994,137.5565759,55.89304113
ABW,2010,H,43.4533955,1.0023954,2.86046778,135.4646547,58.8006573
ABW,2011,H,43.04777043,1.0015699,4.206093989,154.4377869,56.25043416
ABW,2012,H,42.86498429,1.0017778,1.991637655,156.6451972,58.68590324
ABW,2013,H,43.03852297,1.00201,3.262643743,155.7319044,59.16368514
ABW,2014,H,43.51535836,0.6967705,3.439352185,156.4910528,60.24053866
ABW,2015,H,44.24778761,0.6950388,3.585279667,140.4930011,56.62688176
ABW,2016,H,45.1551319,0.6956408,3.68902193,136.8872633,57.22193169
ABW,2017,H,46.12500504,0.6958363,3.733755148,138.7166201,57.24653443
ABW,2018,H,47.11667049,0.9066629,3.225014904,138.8249722,55.96510183
ABW,2019,H,48.0999783,0.9077089,2.926507475,137.9619293,59.63263001
ABW,2020,H,48.87846879,0.9047216,2.582001062,122.723738,82.4396515
ABW,2021,H,49.31994953,0.9064944,2.272689704,139.9177977,68.44637579
ABW,2022,H,49.80107489,1.0084741,2.628474918,160.6345464,60.48364832
ABW,2023,H,50.49975468,0.6576186,2.355622775,159.0185969,58.04635122
ABW,2024,H,51.28952272,0.6567856,2.355622775,160.3652788,58.04635122
ABW,2025,H,51.28952272,0.6567856,2.355622775,160.3652788,58.04635122
ABW,2026,H,51.28952272,0.6567856,2.355622775,160.3652788,58.04635122
AFE,2000,,92.39795111,,14.79389487,46.55716908,74.63035689
AFE,2001,,91.95507017,,14.86109919,47.9559637,76.64447537
AFE,2002,,91.52700618,,14.04934015,57.29430389,61.91180472
AFE,2003,,91.1357231,,14.41203715,54.86581883,70.9125376
AFE,2004,,90.77287558,,14.34722024,55.90146908,79.85964559
AFE,2005,,90.45395726,,13.47300065,58.65830063,85.31112801
AFE,2006,,90.1559485,,12.10842057,59.22119685,94.39419001
AFE,2007,,89.83145301,,11.75968767,64.92655225,93.35924815
AFE,2008,,89.45567441,,11.07234746,72.11395298,78.15406258
AFE,2009,,89.05269864,,11.66291886,60.82678973,79.60510488
AFE,2010,,88.57257622,,10.95755751,61.1440016,84.61972797
AFE,2011,,87.97720861,,10.65450857,63.06839215,76.39545452
AFE,2012,,87.36077613,,10.50772354,61.02621519,79.28207566
AFE,2013,,86.73709858,,10.07416073,61.47494765,75.47416445
AFE,2014,,86.0934422,,9.932069648,59.89988482,73.99620433
AFE,2015,,85.37869102,,10.2441307,54.91933504,65.80451974
AFE,2016,,84.65201521,,10.53317164,52.95320186,65.96999026
AFE,2017,,83.88053165,,10.57264602,51.83320718,65.65777637
AFE,2018,,83.03409773,,10.37919624,55.02203789,61.88065814
AFE,2019,,82.23609751,,10.21809874,53.52812918,60.38962216
AFE,2020,,81.43377659,,9.973702677,49.52170478,55.66913337
AFE,2021,,80.63433833,,9.944675753,54.50126452,49.48916734
AFE,2022,,79.87946348,,9.969502329,57.15277627,44.33225952
AFE,2023,,79.14751991,,10.04530483,56.17052775,45.52390311
AFE,2024,,78.43805136,,9.806950645,54.42217832,50.67791077
AFE,2025,,78.43805136,,9.518265107,54.42217832,50.67791077
AFG,2000,L,109.5860477,-1.3754275,18.82275218,46.70989455,7.24834771
AFG,2001,L,110.2193414,-1.3754275,18.82275218,46.70989455,7.24834771
AFG,2002,L,110.534611,-1.3754275,18.82275218,46.70989455,7.24834771
AFG,2003,L,110.5575396,-1.3754275,16.92386623,46.70989455,7.24834771
AFG,2004,L,110.285308,-1.156126,17.55400626,46.70989455,7.24834771
AFG,2005,L,109.7285254,-1.3754275,16.59821222,46.70989455,7.24834771
AFG,2006,L,108.8891352,-1.3754275,16.3855372,46.70989455,7.24834771
AFG,2007,L,107.7372506,-1.3754275,17.74730953,46.70989455,7.24834771
AFG,2008,L,106.3343755,-1.3754275,17.8391163,46.70989455,9.388327721
AFG,2009,L,104.7994675,-1.3754275,13.14987661,46.70989455,10.58413068
AFG,2010,L,103.1444557,-1.3754275,12.52257684,46.70989455,11.57504424
AFG,2011,L,101.4583083,-1.3754275,13.77918924,46.70989455,7.24834771
AFG,2012,L,99.77313094,-1.3754275,12.48608514,46.70989455,7.24834771
AFG,2013,L,98.06355881,-1.3754275,11.49986726,46.70989455,7.24834771
AFG,2014,L,96.34639379,-1.3754275,11.47758756,46.70989455,7.24834771
AFG,2015,L,94.61323371,-1.3754275,11.420006,46.70989455,7.24834771
AFG,2016,L,92.88987122,-1.3754275,4.114196613,46.70989455,7.24834771
AFG,2017,L,91.29361869,-1.3754275,3.530422461,46.70989455,7.24834771
AFG,2018,L,89.84960598,-1.3754275,6.160177217,46.70989455,7.24834771
AFG,2019,L,88.51202761,-1.3754275,7.043181081,46.70989455,7.24834771
AFG,2020,L,87.24781691,-1.3754275,7.528114629,46.70989455,7.24834771
AFG,2021,L,86.08346818,-1.3754275,8.493156816,51.41171637,7.24834771
AFG,2022,L,84.96248933,-1.3754275,10.19026196,72.88546961,7.24834771
AFG,2023,L,83.83617284,-1.3754275,7.540916863,67.58466515,7.24834771
AFG,2024,L,82.77684832,-1.3754275,8.417811844,67.58466515,7.24834771
AFG,2025,L,82.77684832,-1.3754275,8.417811844,67.58466515,7.24834771
AFG,2026,L,82.77684832,-1.3754275,8.417811844,67.58466515,7.24834771
AFW,2000,,90.62906436,,12.44912347,,8.586793442
AFW,2001,,90.42243378,,12.40422224,,9.203603086
AFW,2002,,90.26683189,,11.44143135,,8.315415055
AFW,2003,,90.10975667,,11.52731577,,8.942796285
AFW,2004,,89.98031358,,10.71763957,,8.692543667
AFW,2005,,89.92596124,,10.46237949,,8.67513976
AFW,2006,,89.95971111,,9.733659156,,8.500442559
AFW,2007,,90.01565084,,9.6421913,,12.32843246
AFW,2008,,89.95822347,,9.543240976,,15.21254945
AFW,2009,,89.81649997,,9.354176571,,16.36299305
AFW,2010,,89.71124359,,8.234998803,,13.0127138
AFW,2011,,89.60345491,,8.811270685,,11.85751144
AFW,2012,,89.50260767,,8.809748564,,11.61222997
AFW,2013,,89.34868688,,10.04630539,,12.5774936
AFW,2014,,89.11755736,,10.48413795,,13.97594044
AFW,2015,,88.80857317,,10.25144762,,14.44158852
AFW,2016,,88.30343881,,10.01005556,,15.86066732
AFW,2017,,87.61882981,,10.12566108,,14.9291314
AFW,2018,,86.81180755,,10.5778387,,13.29344553
AFW,2019,,85.88616084,,9.915651642,,11.07885985
AFW,2020,,84.79886232,,9.352678314,,11.73430357
AFW,2021,,83.60965944,,10.08982548,,12.6487514
AFW,2022,,82.39347559,,10.30430601,,12.58142954
AFW,2023,,81.10228759,,10.42274381,,12.58142954
AFW,2024,,79.80233737,,10.28555503,,12.58142954
AFW,2025,,79.80233737,,9.897418454,,12.58142954
AGO,2000,L,93.39505466,-1.1141214,3.726575286,90.57082097,22.27492802
AGO,2001,L,93.14260579,-1.17210745,3.726575286,90.57082097,22.27492802
AGO,2002,L,92.86898828,-1.2300935,3.726575286,90.57082097,22.27492802
AGO,2003,L,92.58015725,-1.3754275,3.885171723,90.68071618,22.27492802
AGO,2004,LM,92.30377474,-1.3754275,4.679179848,90.38603847,22.27492802
AGO,2005,LM,92.07169966,-1.3754275,3.895781992,95.34145929,22.27492802
AGO,2006,LM,91.89664781,-1.3754275,3.661849599,84.62460412,22.27492802
AGO,2007,LM,91.7757132,-1.3754275,3.442696492,97.2256307,22.27492802
