Code,Year,IncomeGroup,AGEDEP,GE,IND,CREDIT
ABW,2000,H,43.31798693,0.8951417,4.100963775,44.79970061
ABW,2001,H,43.23083912,0.8951417,4.277072978,46.59285265
ABW,2002,H,43.07802278,0.8951417,4.425833642,50.79121223
ABW,2003,H,42.87533368,0.8951417,4.777505083,55.01251722
ABW,2004,H,42.69130396,0.8951417,5.622020209,51.78522982
ABW,2005,H,42.63696129,1.2500659,6.18729481,54.06070072
ABW,2006,H,42.76850602,1.2471197,6.565660336,53.88412026
ABW,2007,H,42.99176173,1.2515751,6.666022669,51.727256
ABW,2008,H,43.2605085,1.2550503,6.670840363,50.65845761
ABW,2009,H,43.53544486,1.3983691,4.205989994,55.89304113
ABW,2010,H,43.4533955,1.0023954,2.86046778,58.8006573
ABW,2011,H,43.04777043,1.0015699,4.206093989,56.25043416
ABW,2012,H,42.86498429,1.0017778,1.991637655,58.68590324
ABW,2013,H,43.03852297,1.00201,3.262643743,59.16368514
ABW,2014,H,43.51535836,0.6967705,3.439352185,60.24053866
ABW,2015,H,44.24778761,0.6950388,3.585279667,56.62688176
ABW,2016,H,45.1551319,0.6956408,3.68902193,57.22193169
ABW,2017,H,46.12500504,0.6958363,3.733755148,57.24653443
ABW,2018,H,47.11667049,0.9066629,3.225014904,55.96510183
ABW,2019,H,48.0999783,0.9077089,2.926507475,59.63263001
ABW,2020,H,48.87846879,0.9047216,2.582001062,82.4396515
ABW,2021,H,49.31994953,0.9064944,2.272689704,68.44637579
ABW,2022,H,49.80107489,1.0084741,2.628474918,60.48364832
ABW,2023,H,50.49975468,0.6576186,2.355622775,58.04635122
ABW,2024,H,51.28952272,0.6567856,2.355622775,58.04635122
ABW,2025,H,51.28952272,0.6567856,2.355622775,58.04635122
ABW,2026,H,51.28952272,0.6567856,2.355622775,58.04635122
AFG,2000,L,109.5860477,-2.3446017,18.82275218,4.842856866
AFG,2001,L,110.2193414,-2.2217389,18.82275218,4.842856866
AFG,2002,L,110.534611,-2.0988761,18.82275218,4.842856866
AFG,2003,L,110.5575396,-2.1081208,16.92386623,4.842856866
AFG,2004,L,110.285308,-1.156126,17.55400626,4.842856866
AFG,2005,L,109.7285254,-1.3907016,16.59821222,4.842856866
AFG,2006,L,108.8891352,-1.6259661,16.3855372,4.842856866
AFG,2007,L,107.7372506,-1.5929686,17.74730953,6.839982237
AFG,2008,L,106.3343755,-1.6680318,17.8391163,9.388327721
AFG,2009,L,104.7994675,-1.5587942,13.14987661,10.58413068
AFG,2010,L,103.1444557,-1.5857412,12.52257684,11.57504424
AFG,2011,L,101.4583083,-1.6043337,13.77918924,4.959180376
AFG,2012,L,99.77313094,-1.4997935,12.48608514,4.47210363
AFG,2013,L,98.06355881,-1.5009938,11.49986726,4.321685417
AFG,2014,L,96.34639379,-1.5246032,11.47758756,3.9410571
AFG,2015,L,94.61323371,-1.4711716,11.420006,3.981493795
AFG,2016,L,92.88987122,-1.4177302,4.114196613,3.888321746
AFG,2017,L,91.29361869,-1.4421872,3.530422461,3.841881205
AFG,2018,L,89.84960598,-1.6312498,6.160177217,3.512317033
AFG,2019,L,88.51202761,-1.6540805,7.043181081,3.22995723
AFG,2020,L,87.24781691,-1.7167282,7.528114629,3.09659809
AFG,2021,L,86.08346818,-1.7059035,8.493156816,3.09659809
AFG,2022,L,84.96248933,-1.9646115,10.19026196,3.09659809
AFG,2023,L,83.83617284,-2.0924592,7.540916863,3.09659809
AFG,2024,L,82.77684832,-1.9339966,8.417811844,3.09659809
AFG,2025,L,82.77684832,-1.9339966,8.417811844,3.09659809
AFG,2026,L,82.77684832,-1.9339966,8.417811844,3.09659809
AGO,2000,L,93.39505466,-1.1141214,3.726575286,22.27492802
AGO,2001,L,93.14260579,-1.17210745,3.726575286,22.27492802
AGO,2002,L,92.86898828,-1.2300935,3.726575286,22.27492802
AGO,2003,L,92.58015725,-1.4582044,3.885171723,22.27492802
AGO,2004,LM,92.30377474,-1.5316839,4.679179848,22.27492802
AGO,2005,LM,92.07169966,-1.5412074,3.895781992,22.27492802
AGO,2006,LM,91.89664781,-1.4924701,3.661849599,22.27492802
AGO,2007,LM,91.7757132,-1.4130187,3.442696492,22.27492802
AGO,2008,LM,91.74374437,-1.3238188,3.532351396,22.27492802
AGO,2009,LM,91.78354687,-1.0974384,4.975453095,22.27492802
AGO,2010,LM,91.82838662,-0.9515013,4.487228855,22.27492802
AGO,2011,UM,91.85690272,-1.0097747,4.178085058,22.27492802
AGO,2012,UM,91.899377,-1.0191994,4.361918025,22.27492802
AGO,2013,UM,91.94970355,-1.0286328,4.779643734,22.27492802
AGO,2014,UM,92.05056189,-0.9400114,4.726180924,22.27492802
AGO,2015,UM,92.1805019,-0.9378237,5.240515596,22.27492802
AGO,2016,LM,92.18800411,-0.9493847,5.782788995,18.3180075
AGO,2017,LM,92.07155429,-0.9681157,5.728969445,14.63025796
AGO,2018,LM,91.90276941,-0.9784602,5.340746295,13.1109176
AGO,2019,LM,91.64703963,-0.9116965,5.411448772,13.39560287
AGO,2020,LM,91.3698275,-1.0163604,6.097457182,11.37655908
AGO,2021,LM,91.03639831,-0.9347008,6.19373756,8.844301746
AGO,2022,LM,90.58951186,-0.8325718,6.716478137,7.025061944
AGO,2023,LM,90.05522528,-0.8287026,7.400666244,7.645733744
AGO,2024,LM,89.40608064,-0.7851909,6.576162598,7.168926409
AGO,2025,LM,89.40608064,-0.7851909,6.79262097,6.580882966
AGO,2026,LM,89.40608064,-0.7851909,6.79262097,6.580882966
ALB,2000,LM,58.59772903,-1.1093724,4.711459153,37.3109373
ALB,2001,LM,57.8351706,-0.8832389,4.339241272,37.3109373
ALB,2002,LM,56.73670221,-0.6571054,4.307757976,37.3109373
ALB,2003,LM,55.61399781,-0.6637265,4.343207119,37.3109373
ALB,2004,LM,54.52112291,-0.4499559,4.474331529,37.3109373
ALB,2005,LM,53.44354077,-0.6979427,4.794124735,37.3109373
ALB,2006,LM,52.41323532,-0.6153929,5.309709539,37.3109373
ALB,2007,LM,51.4388392,-0.5171955,5.731781571,37.3109373
ALB,2008,LM,50.47596292,-0.4824716,5.422752704,37.3109373
ALB,2009,UM,49.46272901,-0.2900014,5.656708948,37.3109373
ALB,2010,UM,48.40341392,-0.2964483,5.960640217,38.56672221
ALB,2011,LM,47.39391652,-0.2490677,6.192222426,40.89041911
ALB,2012,UM,46.63056142,-0.3393566,5.37937813,41.04892897
ALB,2013,UM,46.22948913,-0.3564184,5.747654228,39.72199576
ALB,2014,UM,46.09907972,0.0801175,5.907101717,39.06036961
ALB,2015,UM,46.0636825,0.1835585,6.27591543,36.88088022
ALB,2016,UM,46.04186419,0.1974461,6.303405541,36.20986353
ALB,2017,UM,46.17477818,0.256049,6.516401133,34.13246524
ALB,2018,UM,46.50893245,0.2684643,6.708115065,32.50735868
ALB,2019,UM,47.04237531,0.0266494,6.967485863,33.72559551
ALB,2020,UM,47.68647127,0.0187103,7.069412463,37.71933343
ALB,2021,UM,48.44160172,0.1116368,6.918296958,36.43416869
ALB,2022,UM,49.25104634,0.1929668,7.504616345,33.79123815
ALB,2023,UM,50.02392582,0.293429,7.203061146,32.46656721
ALB,2024,UM,50.97429383,0.3123437,6.505973638,34.12608986
ALB,2025,UM,50.97429383,0.3123437,6.034119771,34.12608986
ALB,2026,UM,50.97429383,0.3123437,6.034119771,34.12608986
ARE,2000,H,28.38947842,0.7403877,13.04398532,81.93984492
ARE,2001,H,26.83214111,0.79555975,13.3137217,81.93984492
ARE,2002,H,25.58071336,0.8507318,13.06355532,81.93984492
ARE,2003,H,24.7137727,0.8458791,12.26243564,81.93984492
ARE,2004,H,24.20340565,0.5800975,11.5123693,81.93984492
ARE,2005,H,23.85084342,0.6201962,10.60808756,81.93984492
ARE,2006,H,23.50120022,0.87732,9.657045672,81.93984492
ARE,2007,H,22.99348562,0.9034445,9.02554579,81.93984492
ARE,2008,H,22.57225254,0.8286183,8.600261024,81.93984492
ARE,2009,H,22.45720015,0.8843205,9.195329213,81.93984492
ARE,2010,H,22.39292905,0.8322561,8.098830062,81.93984492
ARE,2011,H,22.32541883,0.9928203,7.856323643,81.93984492
ARE,2012,H,22.35112832,1.1560961,7.832353832,81.93984492
ARE,2013,H,22.41632266,1.1923106,7.6905088,81.93984492
ARE,2014,H,22.45733334,1.4160016,7.878194254,81.93984492
ARE,2015,H,22.4526562,1.4040254,8.885025554,81.93984492
ARE,2016,H,22.39338088,1.4113666,9.041259172,81.93984492
