Code,Income group
AFG,L
ALB,UM
DZA,UM
ASM,H
AND,H
AGO,LM
ATG,H
ARG,UM
ARM,UM
ABW,H
AUS,H
AUT,H
AZE,UM
BHS,H
BHR,H
BGD,LM
BRB,H
BLR,UM
BEL,H
BLZ,UM
BEN,LM
BMU,H
BTN,LM
BOL,LM
BIH,UM
BWA,UM
BRA,UM
VGB,H
BRN,H
BGR,H
BFA,L
BDI,L
CPV,UM
KHM,LM
CMR,LM
CAN,H
CYM,H
CAF,L
TCD,L
CHI,H
CHL,H
CHN,UM
COL,UM
COM,LM
COD,L
COG,LM
CRI,H
CIV,LM
HRV,H
CUB,UM
CUW,H
CYP,H
CZE,H
DNK,H
DJI,LM
DMA,UM
DOM,UM
ECU,UM
EGY,LM
SLV,UM
GNQ,UM
ERI,L
EST,H
SWZ,LM
ETH,L
FRO,H
FJI,UM
FIN,H
FRA,H
PYF,H
GAB,UM
GMB,L
GEO,UM
DEU,H
GHA,LM
GIB,H
GRC,H
GRL,H
GRD,UM
GUM,H
GTM,UM
GIN,LM
GNB,L
GUY,H
HTI,LM
HND,LM
HKG,H
HUN,H
ISL,H
IND,LM
IDN,UM
IRN,UM
IRQ,UM
IRL,H
IMN,H
ISR,H
ITA,H
JAM,UM
JPN,H
JOR,UM
KAZ,UM
KEN,LM
KIR,LM
PRK,L
KOR,H
XKX,UM
KWT,H
KGZ,LM
LAO,LM
LVA,H
LBN,LM
LSO,LM
LBR,L
LBY,UM
LIE,H
LTU,H
LUX,H
MAC,H
MDG,L
MWI,L
MYS,UM
MDV,UM
MLI,L
MLT,H
MHL,UM
MRT,LM
MUS,UM
MEX,UM
FSM,UM
MDA,UM
MCO,H
MNG,UM
MNE,UM
MAR,LM
MOZ,L
MMR,LM
NAM,LM
NRU,H
NPL,LM
NLD,H
NCL,H
NZL,H
NIC,LM
NER,L
NGA,LM
MKD,UM
MNP,H
NOR,H
OMN,H
PAK,LM
PLW,H
PAN,H
PNG,LM
PRY,UM
PER,UM
PHL,UM
POL,H
PRT,H
PRI,H
QAT,H
ROU,H
RUS,H
RWA,L
WSM,UM
SMR,H
STP,LM
SAU,H
SEN,LM
SRB,UM
SYC,H
SLE,L
SGP,H
SXM,H
SVK,H
SVN,H
SLB,LM
SOM,L
ZAF,UM
SSD,L
ESP,H
LKA,UM
KNA,H
LCA,UM
MAF,H
VCT,UM
SDN,L
SUR,UM
SWE,H
CHE,H
SYR,L
TWN,H
TJK,LM
TZA,LM
THA,UM
TLS,LM
TGO,LM
TON,UM
TTO,H
TUN,LM
TUR,UM
TKM,UM
TCA,H
TUV,UM
UGA,L
UKR,UM
ARE,H
GBR,H
USA,H
URY,H
UZB,LM
VUT,LM
VEN,LM
VNM,UM
VIR,H
PSE,LM
YEM,L
ZMB,LM
ZWE,LM
,
AFE,
AFW,
ARB,
CSS,
CEB,
EAR,
EAS,
EAP,
TEA,
EMU,
ECS,
ECA,
TEC,
EUU,
HPC,
HIC,
IBD,
IBT,
IDB,
IDX,
IDA,
LTE,
LCN,
LAC,
TLA,
LDC,
LMY,
LIC,
LMC,
MEA,
MNA,
TMN,
MIC,
NAC,
OED,
OSS,
PSS,
PST,
PRE,
SST,
SAS,
TSA,
SSF,
SSA,
TSS,
UMC,
WLD,
